event_id,action_id,round_id,buyer_offer_id,buyer_id,listing_id,property_id,agent_id,action_price,sales_price,original_list_price,final_listing_price,unit_sales_price,de_action_price,de_sales_price,de_unit_sales_price,de_original_list_price,de_final_listing_price,actor,action,multiple_buyers,multiple_buyers_adjusted,number_of_additional_offers,number_of_add_offers_adjusted,total_num_buyers_action,total_num_buyers_round,total_num_buyers_event,deal_status,censustract,property_latitude,property_longitude,property_type,num_bedrooms,num_bathrooms,approx_sq_ft,lot_sq_ft,financing_contingency_waived,inspection_contingency_waived,escalation_clause,preinspection,client_letter,year_built,deal_status_notes,walk_score,transit_score,bike_score,prob_offer_sub_date,listing_date,off_market_date,sales_date,offer_submitted_date,offer_accepted_date,action_date,zipcode,listing_year
8d7ef19ba8ac915c6b7d7a6ee622d40d_2015-03-18,1,1,,,82d8b6b36da6d4b68704e1a9b4c47583,8d7ef19ba8ac915c6b7d7a6ee622d40d,,650000,655000,650000,650000,NA,596170,600755.9375,NA,596170,596170,seller,seller_initialize,,,8,8,9,9,9,,53033022500,47.68128967,-122.1867294,Multi-Family (2-4 Unit),6,5,NA,6600,FALSE,FALSE,TRUE,FALSE,FALSE,1994,NA,44,45,47,0,2015/3/17 23:59,2015/3/22,2015/4/29 23:59,2015/3/18 18:15,,2015/3/17,98033,2015
8d7ef19ba8ac915c6b7d7a6ee622d40d_2015-03-18,2,1,f5cb5d2073947e6b1020893b9ad7eb6e,a67bbff66adfbd0a0bf1520360c79b5c,82d8b6b36da6d4b68704e1a9b4c47583,8d7ef19ba8ac915c6b7d7a6ee622d40d,43b9787b8a0cd00a8115c14b2b7c3a27,650000,655000,650000,650000,NA,596170,600755.9375,NA,596170,596170,buyer,buyer_offer,TRUE,TRUE,8,8,9,9,9,Offer Rejected Due to Price,53033022500,47.68128967,-122.1867294,Multi-Family (2-4 Unit),6,5,NA,6600,FALSE,FALSE,TRUE,FALSE,FALSE,1994,NA,44,45,47,0,2015/3/17 23:59,2015/3/22,2015/4/29 23:59,2015/3/18 18:15,,2015/3/18,98033,2015
8fc3d9e80ef5c6f798ccf796710fc266_2019-07-02,1,1,,,4f99cad25dbf8162d1b4e0f84f8e9043,8fc3d9e80ef5c6f798ccf796710fc266,,589000,594000,589000,589000,478.2608643,503541.0938,507815.625,408.8692627,503541.0938,503541.0938,seller,seller_initialize,,,2,2,3,3,3,,6073017305,32.99658585,-117.2532196,Condo/Co-op,3,2,1242,199441,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,47,NA,28,0,2019/7/2 00:00,2019/7/11,2019/8/5 23:59,2019/7/16 17:12,,2019/7/2,92075,2019
8fc3d9e80ef5c6f798ccf796710fc266_2019-07-02,2,1,be93e8bed92f4fb1dcf037f4c300ea69,73249816dfb2270ced89a9b54bea721f,4f99cad25dbf8162d1b4e0f84f8e9043,8fc3d9e80ef5c6f798ccf796710fc266,483d8df877b31405c1e8fe4247f02d86,590000,594000,589000,589000,478.2608643,504396,507815.625,408.8692627,503541.0938,503541.0938,buyer,buyer_offer,TRUE,TRUE,2,2,3,3,3,Closed (Success),6073017305,32.99658585,-117.2532196,Condo/Co-op,3,2,1242,199441,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,47,NA,28,0,2019/7/2 00:00,2019/7/11,2019/8/5 23:59,2019/7/16 17:12,2019/7/15 23:58,2019/7/16,92075,2019
90ef70cc62607a57da9447dd88784a57_2016-05-17,1,1,,,fae8a087a08b4842dd4a733b156a6eaf,90ef70cc62607a57da9447dd88784a57,,349900,352500,349900,349900,242.7686005,317451.4688,319810.3438,220.2550659,317451.4688,317451.4688,seller,seller_initialize,,,3,3,4,4,4,,25017383800,42.33799744,-71.41182709,Single Family Residential,3,1.5,1452,20129,FALSE,FALSE,FALSE,FALSE,FALSE,1959,NA,12,0,18,0,2016/5/17 00:00,2016/5/19,2016/7/11 23:59,2016/5/19 07:51,,2016/5/17,1701,2016
90ef70cc62607a57da9447dd88784a57_2016-05-17,2,1,384f7c49e186d6850b9f051b3071f023,436df3e3b229322e06ad4e4bfb44ce82,fae8a087a08b4842dd4a733b156a6eaf,90ef70cc62607a57da9447dd88784a57,8dcf2420e78a64333a59674678fb283b,352500,352500,349900,349900,242.7686005,319810.3438,319810.3438,220.2550659,317451.4688,317451.4688,buyer,buyer_offer,TRUE,TRUE,3,3,4,4,4,Closed (Success),25017383800,42.33799744,-71.41182709,Single Family Residential,3,1.5,1452,20129,FALSE,FALSE,FALSE,FALSE,FALSE,1959,NA,12,0,18,0,2016/5/17 00:00,2016/5/19,2016/7/11 23:59,2016/5/19 07:51,2016/5/19 23:58,2016/5/19,1701,2016
9129bacec503287408292696545037cf_2016-07-08,2,1,ca4ef631bb1c1715abf97bbbfbd23390,98788b583bfb86c7212686bcdb359850,d163728e1d2bb94aca4d8d140e9a3f30,9129bacec503287408292696545037cf,52130c418d4f02c74f74a5bc1f8020b2,211950,211950,214995,214995,155.5025635,192294.4844,192294.4844,141.0817871,195057.0938,195057.0938,buyer,buyer_offer,FALSE,FALSE,NA,0,1,1,1,Closed (Success),53053063200,47.19950485,-122.4415436,Single Family Residential,3,1.75,1363,5850,FALSE,FALSE,FALSE,FALSE,FALSE,1919,NA,66,NA,57,0,2016/7/7 23:59,2016/7/15,2016/8/25 00:00,2016/7/26 07:59,2016/7/26 00:01,2016/7/26,98408,2016
9129bacec503287408292696545037cf_2016-07-08,1,1,,,d163728e1d2bb94aca4d8d140e9a3f30,9129bacec503287408292696545037cf,,214995,211950,214995,214995,155.5025635,195057.0938,192294.4844,141.0817871,195057.0938,195057.0938,seller,seller_initialize,,,NA,NA,NA,1,1,,53053063200,47.19950485,-122.4415436,Single Family Residential,3,1.75,1363,5850,FALSE,FALSE,FALSE,FALSE,FALSE,1919,NA,66,NA,57,0,2016/7/7 23:59,2016/7/15,2016/8/25 00:00,2016/7/26 07:59,,2016/7/7,98408,2016
914aa7b682bb1e02670ef7f7a4540ec0_2017-03-22,1,1,,,8b401edb3d321cef2072ec6cb1d1c57d,914aa7b682bb1e02670ef7f7a4540ec0,,309000,336500,309000,309000,435.8808289,275115.0938,299599.4375,388.0821533,275115.0938,275115.0938,seller,seller_initialize,,,NA,NA,NA,NA,NA,,6037463602,34.13956833,-118.1420822,Condo/Co-op,1,1,772,78119,FALSE,FALSE,FALSE,FALSE,FALSE,1972,NA,85,60,84,0,2017/3/21 23:58,2017/5/8,2017/5/15 23:59,2017/3/28 10:43,,2017/3/21,91101,2017
914aa7b682bb1e02670ef7f7a4540ec0_2017-03-22,2,1,8bf942d5ed0cc9579a3145104d1aa007,c0383f7e34f443628a53c53d60eed750,8b401edb3d321cef2072ec6cb1d1c57d,914aa7b682bb1e02670ef7f7a4540ec0,17326d10d511828f6b34fa6d751739e2,309000,336500,309000,309000,435.8808289,275115.0938,299599.4375,388.0821533,275115.0938,275115.0938,buyer,buyer_offer,TRUE,TRUE,NA,NA,NA,NA,NA,Offer Rejected Due to Multiple Offers,6037463602,34.13956833,-118.1420822,Condo/Co-op,1,1,772,78119,FALSE,FALSE,FALSE,FALSE,FALSE,1972,NA,85,60,84,0,2017/3/21 23:58,2017/5/8,2017/5/15 23:59,2017/3/28 10:43,,2017/3/28,91101,2017
